Source IP,Source Port,Source Domain,Destination IP,Destination Port,Destination Domain,Protocol
192.168.100.58,59603,192.168.100.58,185.199.111.154,443,cdn-185-199-111-154.github.com,TCP
192.168.100.58,1928,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
142.250.181.138,443,fjr04s09-in-f10.1e100.net,192.168.100.58,63518,192.168.100.58,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,11024,192.168.100.58,UDP
192.168.100.58,9206,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,40228,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,11024,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,60307,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,33273,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59600,192.168.100.58,34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,TCP
192.168.100.58,35537,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
172.217.21.42,443,fjr01s02-in-f10.1e100.net,192.168.100.58,54331,192.168.100.58,UDP
192.168.100.58,50068,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59620,192.168.100.58,3.233.158.25,443,ec2-3-233-158-25.compute-1.amazonaws.com,TCP
192.168.100.58,59617,192.168.100.58,20.207.73.82,443,20.207.73.82,TCP
140.82.112.21,443,lb-140-82-112-21-iad.github.com,192.168.100.58,59598,192.168.100.58,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,35511,192.168.100.58,UDP
192.168.100.58,40888,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,34438,192.168.100.58,UDP
192.168.100.58,34438,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,29178,192.168.100.58,UDP
172.217.17.46,443,ams16s29-in-f46.1e100.net,192.168.100.58,62456,192.168.100.58,UDP
192.168.100.58,62456,192.168.100.58,172.217.17.46,443,ams16s29-in-f46.1e100.net,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,62919,192.168.100.58,UDP
192.168.100.58,62919,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
35.186.224.24,443,24.224.186.35.bc.googleusercontent.com,192.168.100.58,53596,192.168.100.58,UDP
192.168.100.58,51989,192.168.100.58,35.186.224.24,443,24.224.186.35.bc.googleusercontent.com,UDP
192.168.100.58,2075,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59650,192.168.100.58,140.82.113.21,443,lb-140-82-113-21-iad.github.com,TCP
192.168.100.58,58740,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,35794,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,17847,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
20.189.172.32,443,20.189.172.32,192.168.100.58,59595,192.168.100.58,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,52885,192.168.100.58,UDP
172.217.17.42,443,ams16s29-in-f42.1e100.net,192.168.100.58,59593,192.168.100.58,TCP
192.168.100.58,59593,192.168.100.58,172.217.17.42,443,ams16s29-in-f42.1e100.net,TCP
3.233.158.25,443,ec2-3-233-158-25.compute-1.amazonaws.com,192.168.100.58,59592,192.168.100.58,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,31186,192.168.100.58,UDP
192.168.100.58,5865,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
104.22.15.220,443,104.22.15.220,192.168.100.58,59591,192.168.100.58,TCP
172.217.17.42,443,ams16s29-in-f42.1e100.net,192.168.100.58,59590,192.168.100.58,TCP
192.168.100.58,59590,192.168.100.58,172.217.17.42,443,ams16s29-in-f42.1e100.net,TCP
192.168.100.58,59589,192.168.100.58,142.250.181.14,443,fjr04s05-in-f14.1e100.net,TCP
192.168.100.9,5353,192.168.100.9,224.0.0.251,5353,mdns.mcast.net,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,48042,192.168.100.58,UDP
192.168.100.58,54395,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
172.217.19.227,443,par21s11-in-f3.1e100.net,192.168.100.58,51769,192.168.100.58,UDP
172.217.19.227,443,par21s11-in-f3.1e100.net,192.168.100.58,56172,192.168.100.58,UDP
192.168.100.58,56172,192.168.100.58,172.217.19.227,443,par21s11-in-f3.1e100.net,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,54990,192.168.100.58,UDP
192.168.100.58,42641,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,54990,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
35.186.224.26,443,26.224.186.35.bc.googleusercontent.com,192.168.100.58,58634,192.168.100.58,UDP
35.186.224.26,443,26.224.186.35.bc.googleusercontent.com,192.168.100.58,59588,192.168.100.58,TCP
192.168.100.58,58634,192.168.100.58,35.186.224.26,443,26.224.186.35.bc.googleusercontent.com,UDP
172.217.19.195,443,ams16s31-in-f3.1e100.net,192.168.100.58,59587,192.168.100.58,TCP
13.67.9.5,443,13.67.9.5,192.168.100.58,59586,192.168.100.58,TCP
192.168.100.58,56489,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,43995,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59585,192.168.100.58,142.250.181.142,443,fjr04s09-in-f14.1e100.net,TCP
142.250.181.142,443,fjr04s09-in-f14.1e100.net,192.168.100.58,53277,192.168.100.58,UDP
23.55.39.166,80,a23-55-39-166.deploy.static.akamaitechnologies.com,192.168.100.58,53422,192.168.100.58,TCP
192.168.100.58,53422,192.168.100.58,23.55.39.166,80,a23-55-39-166.deploy.static.akamaitechnologies.com,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,62039,192.168.100.58,UDP
192.168.100.58,62039,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,65007,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,58984,192.168.100.58,UDP
192.168.100.58,58984,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,55903,192.168.100.58,UDP
17.253.18.210,443,inbom5-vip-get-002.b.aaplimg.com,192.168.100.58,53421,192.168.100.58,TCP
192.168.100.58,55903,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,53421,192.168.100.58,17.253.18.210,443,inbom5-vip-get-002.b.aaplimg.com,TCP
192.168.100.58,62718,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,27253,192.168.100.58,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,34854,192.168.100.58,UDP
192.168.100.58,27253,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
172.224.26.155,443,a172-224-26-155.source.akaquill.net,192.168.100.58,53420,192.168.100.58,TCP
172.224.26.155,443,a172-224-26-155.source.akaquill.net,192.168.100.58,58948,192.168.100.58,UDP
192.168.100.58,53420,192.168.100.58,172.224.26.155,443,a172-224-26-155.source.akaquill.net,TCP
192.168.100.58,58948,192.168.100.58,172.224.26.155,443,a172-224-26-155.source.akaquill.net,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,60549,192.168.100.58,UDP
172.217.17.42,443,ams16s29-in-f42.1e100.net,192.168.100.58,59582,192.168.100.58,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,56356,192.168.100.58,UDP
192.168.100.58,59582,192.168.100.58,172.217.17.42,443,ams16s29-in-f42.1e100.net,TCP
192.168.100.58,50543,192.168.100.58,172.224.19.17,443,a172-224-19-17.source.akaquill.net,UDP
192.168.100.58,53418,192.168.100.58,172.224.19.12,443,a172-224-19-12.source.akaquill.net,TCP
192.168.100.58,56356,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,60555,192.168.100.58,172.224.19.11,443,a172-224-19-11.source.akaquill.net,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,59644,192.168.100.58,UDP
192.168.100.58,49221,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,57285,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
140.82.113.21,443,lb-140-82-113-21-iad.github.com,192.168.100.58,59659,192.168.100.58,TCP
192.168.100.58,59853,192.168.100.58,172.224.19.12,443,a172-224-19-12.source.akaquill.net,UDP
192.168.100.58,56278,192.168.100.58,172.224.19.16,443,a172-224-19-16.source.akaquill.net,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,58139,192.168.100.58,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,58574,192.168.100.58,UDP
192.168.100.58,50449,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,65373,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
44.207.209.16,443,ec2-44-207-209-16.compute-1.amazonaws.com,192.168.100.58,59580,192.168.100.58,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,52478,192.168.100.58,UDP
192.168.100.58,59580,192.168.100.58,44.207.209.16,443,ec2-44-207-209-16.compute-1.amazonaws.com,TCP
192.168.100.58,59579,192.168.100.58,44.207.209.16,443,ec2-44-207-209-16.compute-1.amazonaws.com,TCP
192.168.100.58,23575,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,20996,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,44803,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
142.250.181.14,443,fjr04s05-in-f14.1e100.net,192.168.100.58,60756,192.168.100.58,UDP
192.168.100.58,31147,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
172.217.17.46,443,ams16s29-in-f46.1e100.net,192.168.100.58,52917,192.168.100.58,UDP
192.168.100.58,59625,192.168.100.58,185.199.111.154,443,cdn-185-199-111-154.github.com,TCP
192.168.100.58,59578,192.168.100.58,162.247.243.29,443,162.247.243.29,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,51076,192.168.100.58,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,64363,192.168.100.58,UDP
192.168.100.58,59635,192.168.100.58,20.207.73.82,443,20.207.73.82,TCP
192.168.100.58,52094,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
102.132.97.52,3478,edgeray-shv-01-hbe1.facebook.com,192.168.100.58,60426,192.168.100.58,UDP
163.70.132.62,3478,edgeray-shv-01-kul2.facebook.com,192.168.100.58,60426,192.168.100.58,UDP
157.240.227.62,3478,edgeray-shv-01-mct1.facebook.com,192.168.100.58,60426,192.168.100.58,UDP
192.168.100.58,60426,192.168.100.58,119.152.6.98,3478,119.152.6.98,UDP
192.168.100.58,49257,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59577,192.168.100.58,59.103.92.138,443,59.103.92.138,TCP
192.168.100.58,22034,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,13177,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,59893,192.168.100.58,UDP
59.103.92.185,443,59.103.92.185,192.168.100.58,59576,192.168.100.58,TCP
192.168.100.58,64363,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59576,192.168.100.58,59.103.92.185,443,59.103.92.185,TCP
192.168.100.58,47541,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,55917,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,52961,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
172.217.19.4,443,zrh04s08-in-f4.1e100.net,192.168.100.58,59575,192.168.100.58,TCP
192.168.100.58,59575,192.168.100.58,172.217.19.4,443,zrh04s08-in-f4.1e100.net,TCP
192.168.100.58,52825,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,13885,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59583,192.168.100.58,172.217.17.42,443,ams16s29-in-f42.1e100.net,TCP
104.22.15.220,443,104.22.15.220,192.168.100.58,59574,192.168.100.58,TCP
192.168.100.58,58421,192.168.100.58,172.217.19.174,443,zrh04s07-in-f14.1e100.net,UDP
192.168.100.58,59574,192.168.100.58,104.22.15.220,443,104.22.15.220,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,65420,192.168.100.58,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,63521,192.168.100.58,UDP
192.168.100.58,63521,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
59.103.73.145,443,59.103.73.145,192.168.100.58,59573,192.168.100.58,TCP
192.168.100.58,59597,192.168.100.58,20.207.73.82,443,20.207.73.82,TCP
192.168.100.58,59573,192.168.100.58,59.103.73.145,443,59.103.73.145,TCP
192.168.100.58,57567,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,38436,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,33930,192.168.100.58,UDP
17.253.18.198,443,inbom5-vip-bx-002.b.aaplimg.com,192.168.100.58,53415,192.168.100.58,TCP
192.168.100.58,24774,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,53415,192.168.100.58,17.253.18.198,443,inbom5-vip-bx-002.b.aaplimg.com,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,61493,192.168.100.58,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,63473,192.168.100.58,UDP
192.168.100.58,62372,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
162.247.241.2,443,162.247.241.2,192.168.100.58,59572,192.168.100.58,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,52853,192.168.100.58,UDP
192.168.100.58,53417,192.168.100.58,172.224.19.14,443,a172-224-19-14.source.akaquill.net,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,53593,192.168.100.58,UDP
192.168.100.58,52853,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,53593,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
104.16.103.112,443,104.16.103.112,192.168.100.58,59570,192.168.100.58,TCP
192.168.100.58,59569,192.168.100.58,172.217.17.42,443,ams16s29-in-f42.1e100.net,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,53537,192.168.100.58,UDP
192.168.100.58,59568,192.168.100.58,162.247.243.20,443,162.247.243.20,TCP
192.168.100.58,51039,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,2743,192.168.100.58,UDP
172.217.17.42,443,ams16s29-in-f42.1e100.net,192.168.100.58,52299,192.168.100.58,UDP
192.168.100.58,52299,192.168.100.58,172.217.17.42,443,ams16s29-in-f42.1e100.net,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,14615,192.168.100.58,UDP
192.168.100.58,21077,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,14615,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,62787,192.168.100.58,172.217.17.46,443,ams16s29-in-f46.1e100.net,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,13177,192.168.100.58,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,63065,192.168.100.58,UDP
192.168.100.58,16956,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,60296,192.168.100.58,UDP
35.186.224.24,443,24.224.186.35.bc.googleusercontent.com,192.168.100.58,59564,192.168.100.58,TCP
104.16.103.112,443,104.16.103.112,192.168.100.58,59563,192.168.100.58,TCP
34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,192.168.100.58,59559,192.168.100.58,TCP
192.168.100.58,59559,192.168.100.58,34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,TCP
192.168.100.58,59554,192.168.100.58,13.67.9.5,443,13.67.9.5,TCP
162.247.243.29,443,162.247.243.29,192.168.100.58,59553,192.168.100.58,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,23364,192.168.100.58,UDP
192.168.100.58,58161,192.168.100.58,142.250.181.14,443,fjr04s05-in-f14.1e100.net,UDP
192.168.100.58,23364,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,51064,192.168.100.58,239.255.255.250,1900,239.255.255.250,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,40298,192.168.100.58,UDP
192.168.100.58,54963,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,61710,192.168.100.58,UDP
192.168.100.58,52349,192.168.100.58,104.21.23.112,443,104.21.23.112,UDP
192.168.100.58,48042,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,37359,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,12692,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59552,192.168.100.58,108.139.79.107,443,server-108-139-79-107.dxb53.r.cloudfront.net,TCP
192.168.100.58,59551,192.168.100.58,34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,TCP
